bgt_name,polygon,x_min,y_max,x_max,y_min
rijbaan_lokale_weg,"[[114714.958, 484915.959], [114730.293, 484868.132], [114730.593, 484867.581], [114730.592851, 484867.5201428], [114730.5965225, 484867.4593963], [114730.604, 484867.399], [114730.6152755, 484867.3390946], [114730.6302953, 484867.2800167], [114730.649, 484867.222], [114730.719, 484867.019], [114730.909, 484866.364], [114731.728, 484863.85], [114732.347, 484861.908], [114732.696, 484860.836], [114733.041, 484859.662], [114749.895, 484807.673], [114749.8906626, 484807.5908719], [114749.8933357, 484807.5086728], [114749.903, 484807.427], [114749.9195878, 484807.3464365], [114749.9429778, 484807.2675788], [114749.973, 484807.191], [114751.607, 484802.127], [114751.8090901, 484801.686291], [114752.0494854, 484801.2652508], [114752.3262898, 484800.8672004], [114752.6373198, 484800.4952795], [114752.9801222, 484800.1524219], [114753.3519928, 484799.8413319], [114753.7499986, 484799.5644633], [114754.171, 484799.324], [114754.6109777, 484799.1221225], [114755.0671096, 484798.9600156], [114755.5358088, 484798.8389539], [114756.0133899, 484798.7598894], [114756.4960975, 484798.7234438], [114756.9801359, 484798.7299038], [114757.461699, 484798.7792184], [114757.937, 484798.871], [114757.999, 484798.886], [114758.563, 484799.071], [114763.659, 484800.743], [114763.85, 484800.805], [114763.903066, 484800.8297424], [114763.9544674, 484800.8577796], [114764.004, 484800.889], [114764.0516689, 484800.9234355], [114764.0970629, 484800.9608188], [114764.14, 484801.001], [114776.868, 484805.049], [114779.138, 484805.771], [114779.1671848, 484805.7748858], [114779.196199, 484805.7798882], [114779.225, 484805.786], [114779.2536473, 484805.79324], [114779.2819946, 484805.8015774], [114779.31, 484805.811], [114796.075, 484811.186], [114797.852, 484805.642], [114790.202, 484803.195], [114779.132, 484799.644], [114777.642, 484799.166], [114765.211, 484795.18], [114758.274, 484792.968], [114758.0342713, 484792.8592476], [114757.8044081, 484792.7309518], [114757.586, 484792.584], [114757.3773227, 484792.4165843], [114757.1835279, 484792.2321451], [114757.006, 484792.032], [114756.6, 484791.576], [114749.17, 484789.511], [114749.1603204, 484789.734886], [114749.1399717, 484789.9580554], [114749.109, 484790.18], [114749.067436, 484790.4004017], [114749.0153965, 484790.6185675], [114748.953, 484790.834], [114746.113, 484799.584], [114744.229, 484805.388], [114744.2113161, 484805.4458591], [114744.1902923, 484805.5025899], [114744.166, 484805.558], [114744.1384137, 484805.6120983], [114744.1077121, 484805.6644914], [114744.074, 484805.715], [114727.347, 484857.82], [114727.08, 484858.608], [114726.964, 484858.949], [114724.975, 484865.147], [114709.226, 484913.974], [114709.2202425, 484914.0247373], [114709.2119019, 484914.0751144], [114709.201, 484914.125], [114709.1875044, 484914.1744664], [114709.1714903, 484914.2231757], [114709.153, 484914.271], [114708.791, 484915.387], [114705.207, 484926.56], [114703.21, 484932.831], [114703.1870943, 484932.9029131], [114703.1586726, 484932.9728299], [114703.1249065, 484933.0403282], [114703.086, 484933.105], [114703.0421674, 484933.1664817], [114702.99369, 484933.2243717], [114702.9408611, 484933.2783198], [114702.884, 484933.328], [114697.289, 484951.734], [114702.703, 484953.447], [114708.89, 484934.838], [114708.8939898, 484934.8185907], [114708.8983236, 484934.7992554], [114708.903, 484934.78], [114708.907997, 484934.7609067], [114708.9133309, 484934.7419047], [114708.919, 484934.723], [114710.962, 484928.389], [114714.521, 484917.26], [114714.958, 484915.959]]",114697.289,484953.447,114797.852,484789.511
rijbaan_lokale_weg,"[[114780.607, 484989.102], [114709.391, 484966.195], [114704.076, 484964.485], [114704.016, 484964.47], [114703.841, 484964.409], [114697.363, 484962.333], [114695.602, 484967.807], [114707.162, 484971.519], [114719.295, 484975.416], [114719.695, 484974.022], [114719.711452, 484973.9824384], [114719.7311198, 484973.9443731], [114719.7538686, 484973.908065], [114719.7795424, 484973.8737628], [114719.8079655, 484973.8417016], [114719.8389429, 484973.8121012], [114719.8722624, 484973.7851643], [114719.9076957, 484973.7610755], [114719.945, 484973.74], [114719.9859634, 484973.721247], [114720.0284025, 484973.7061271], [114720.0719955, 484973.6947551], [114720.1164124, 484973.687217], [114720.1613165, 484973.68357], [114720.2063676, 484973.6838416], [114720.2512245, 484973.6880299], [114720.2955472, 484973.6961031], [114720.339, 484973.708], [114795.623, 484997.945], [114796.807, 484994.295], [114790.678, 484992.311], [114780.607, 484989.102]]",114695.602,484997.945,114796.807,484962.333
rijbaan_lokale_weg,"[[114798.344, 485009.538], [114703.959, 484979.168], [114703.421, 484978.995], [114703.3160735, 484978.9541172], [114703.2142426, 484978.9060397], [114703.116, 484978.851], [114703.0526764, 484978.8105305], [114702.991299, 484978.767166], [114702.932, 484978.721], [114699.674, 484975.772], [114693.569, 484973.801], [114691.813, 484979.284], [114698.204, 484981.331], [114702.481, 484982.699], [114706.844, 484984.094], [114784.306, 485009.059], [114785.001, 485009.272], [114797.568, 485013.302], [114802.392, 485014.883], [114803.843, 485015.324], [114809.858, 485017.269], [114851.253, 485030.594], [114852.444, 485026.946], [114805.011, 485011.666], [114803.561, 485011.223], [114798.344, 485009.538]]",114691.813,485030.594,114852.444,484973.801
rijbaan_lokale_weg,"[[114703.841, 484964.409], [114704.083, 484963.67], [114702.654, 484960.188], [114693.973, 484957.431], [114691.506, 484959.615], [114691.259, 484960.376], [114697.363, 484962.333], [114703.841, 484964.409]]",114691.259,484964.409,114704.083,484957.431
rijbaan_lokale_weg,"[[114701.471, 484957.308], [114702.703, 484953.447], [114697.289, 484951.734], [114696.061, 484955.582], [114701.471, 484957.308]]",114696.061,484957.308,114702.703,484951.734
rijbaan_lokale_weg,"[[114702.654, 484960.188], [114701.471, 484957.308], [114696.061, 484955.582], [114693.973, 484957.431], [114702.654, 484960.188]]",114693.973,484960.188,114702.654,484955.582
parkeervlak,"[[114702.703, 484953.447], [114706.282, 484954.56], [114706.3667682, 484954.5840949], [114706.4533642, 484954.6004461], [114706.5410819, 484954.6089203], [114706.6292065, 484954.6094483], [114706.7170195, 484954.6020258], [114706.8038052, 484954.5867135], [114706.888856, 484954.563636], [114706.9714788, 484954.5329816], [114707.051, 484954.495], [114707.1262733, 484954.4503278], [114707.1972419, 484954.3990918], [114707.2633352, 484954.341704], [114707.3240216, 484954.278626], [114707.378813, 484954.210365], [114707.427269, 484954.1374699], [114707.4689997, 484954.0605269], [114707.5036697, 484953.9801548], [114707.531, 484953.897], [114712.66, 484937.967], [114712.6829907, 484937.8831871], [114712.6984739, 484937.7976684], [114712.7063278, 484937.7111151], [114712.706491, 484937.6242062], [114712.6989621, 484937.537624], [114712.6838002, 484937.4520477], [114712.6611243, 484937.3681491], [114712.6311124, 484937.2865865], [114712.594, 484937.208], [114712.5498437, 484937.1326437], [114712.4991603, 484937.0615133], [114712.4423515, 484936.9951724], [114712.3798676, 484936.934147], [114712.3122038, 484936.8789205], [114712.2398964, 484936.8299309], [114712.1635185, 484936.7875662], [114712.0836754, 484936.7521624], [114712.001, 484936.724], [114709.599, 484935.972], [114709.5159801, 484935.9455688], [114709.4356267, 484935.9118901], [114709.3585711, 484935.8712287], [114709.2854187, 484935.8239039], [114709.2167441, 484935.7702875], [114709.1530869, 484935.7108008], [114709.0949471, 484935.645911], [114709.0427815, 484935.576128], [114708.997, 484935.502], [114708.9585142, 484935.4253422], [114708.9268578, 484935.3456211], [114708.9022719, 484935.2634438], [114708.8849437, 484935.179436], [114708.8750052, 484935.0942374], [114708.872532, 484935.0084968], [114708.877543, 484934.922867], [114708.89, 484934.838], [114702.703, 484953.447]]",114702.703,484954.6094483,114712.706491,484934.838
parkeervlak,"[[114778.837, 484986.536], [114710.115, 484964.467], [114705.137, 484962.869], [114704.751, 484964.081], [114704.7337552, 484964.1293946], [114704.7123515, 484964.1760991], [114704.6869522, 484964.2207567], [114704.6577514, 484964.2630265], [114704.624972, 484964.3025857], [114704.5888642, 484964.3391324], [114704.5497039, 484964.3723873], [114704.5077899, 484964.4020967], [114704.4634424, 484964.4280336], [114704.417, 484964.45], [114704.370435, 484964.4673062], [114704.3225753, 484964.4806197], [114704.2737625, 484964.4898454], [114704.2243451, 484964.4949176], [114704.174676, 484964.4958], [114704.1251097, 484964.4924862], [114704.076, 484964.485], [114709.391, 484966.195], [114780.607, 484989.102], [114780.543294, 484989.0735901], [114780.4821377, 484989.0400418], [114780.4239447, 484989.0015821], [114780.3691085, 484988.958471], [114780.318, 484988.911], [114780.2634503, 484988.8504216], [114780.2149677, 484988.7848865], [114780.173, 484988.715], [114779.273, 484986.918], [114779.2374809, 484986.8579787], [114779.1970152, 484986.8011746], [114779.1518927, 484986.7479945], [114779.1024363, 484986.6988189], [114779.049, 484986.654], [114778.9823272, 484986.6077606], [114778.9114316, 484986.5682999], [114778.837, 484986.536]]",114704.076,484989.102,114780.607,484962.869
parkeervlak,"[[114784.306, 485009.059], [114706.844, 484984.094], [114706.9028975, 484984.1174107], [114706.9594824, 484984.1459611], [114707.0133073, 484984.1794253], [114707.0639467, 484984.2175387], [114707.111, 484984.26], [114707.1554891, 484984.3081225], [114707.1953699, 484984.360128], [114707.2303053, 484984.4155767], [114707.26, 484984.474], [114708.135, 484986.291], [114708.1525869, 484986.3396759], [114708.1741411, 484986.3867298], [114708.1995149, 484986.4318387], [114708.2285342, 484986.4746934], [114708.261, 484986.515], [114708.2973826, 484986.5531509], [114708.3368511, 484986.5880997], [114708.3791247, 484986.6195977], [114708.4239026, 484986.6474209], [114708.4708661, 484986.6713711], [114708.519681, 484986.691278], [114708.57, 484986.707], [114751.423, 485000.468], [114783.217, 485010.691], [114783.637, 485009.402], [114783.6584712, 485009.3556124], [114783.6839554, 485009.3113023], [114783.7132535, 485009.2694162], [114783.7461364, 485009.2302813], [114783.7823472, 485009.1942035], [114783.8216028, 485009.1614648], [114783.8635965, 485009.132321], [114783.908, 485009.107], [114783.9545036, 485009.0856845], [114784.0027093, 485009.0685627], [114784.0522396, 485009.0557688], [114784.1027069, 485009.0474029], [114784.1537161, 485009.0435305], [114784.204868, 485009.0441818], [114784.2557621, 485009.0493518], [114784.306, 485009.059]]",114706.844,485010.691,114784.306,484984.094
ov-baan,"[[114719.295, 484975.416], [114707.162, 484971.519], [114695.602, 484967.807], [114669.653, 484959.474], [114657.976, 484955.719], [114656.233, 484961.764], [114667.752, 484965.468], [114693.569, 484973.801], [114699.674, 484975.772], [114700.739, 484976.104], [114700.905, 484975.607], [114701.873, 484972.554], [114706.157, 484973.918], [114711.384, 484975.583], [114711.579, 484974.949], [114713.474, 484975.57], [114713.891, 484974.244], [114719.668, 484976.104], [114719.851, 484975.578], [114719.295, 484975.416]]",114656.233,484976.104,114719.851,484955.719
